Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,9,1,0,0.0,6,2,33.3333,0,0,,28.57143,0,2
Chase Dickens,Rochester Institute of Technology Tigers,5,0,0,,2,1,50.0,1,1,100.0,50.0,2,1
Pat Healy,Hobart College Statesmen,4,0,0,,3,3,100.0,1,1,100.0,100.0,1,0
Brandon Weiss,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Avery Eugster,Rensselaer Polytechnic,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Jake Walsh,Skidmore Thoroughbreds,2,0,0,,2,2,100.0,0,0,,100.0,0,0
Mark Osime,Rochester Institute of Technology Tigers,2,1,0,0.0,0,0,,0,0,,0.0,1,0
Jonny Angbazo,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,0,1
Brock Bowen,Rochester Institute of Technology Tigers,2,1,1,100.0,1,0,0.0,0,0,,75.0,0,0
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1,0
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Steve DeRegis,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Jaheim Crayton,Gallaudet University Bison,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Jaylon O'Neal,Ithaca College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tomiwa Adetosoye,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Shea Fitzgerald,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
