Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,13,1,0,0.0,8,3,37.5,0,0,,33.33333,1,3
Chase Dickens,Rochester Institute of Technology Tigers,8,0,0,,4,1,25.0,2,1,50.0,25.0,2,2
Pat Healy,Hobart College Statesmen,6,0,0,,4,4,100.0,1,1,100.0,100.0,2,0
Brock Bowen,Rochester Institute of Technology Tigers,4,1,1,100.0,2,1,50.0,0,0,,83.33333,1,0
Avery Eugster,Rensselaer Polytechnic,3,0,0,,2,0,0.0,0,0,,0.0,1,0
Jake Walsh,Skidmore Thoroughbreds,3,1,0,0.0,2,2,100.0,0,0,,66.66667,0,0
Avery Lee,Vassar Brewers,2,0,0,,2,1,50.0,1,0,0.0,50.0,0,0
Jaheim Crayton,Gallaudet University Bison,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Aidan Rodgers,Hobart College Statesmen,2,0,0,,1,0,0.0,2,0,0.0,0.0,0,1
Brandon Weiss,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Mark Osime,Rochester Institute of Technology Tigers,2,1,0,0.0,0,0,,0,0,,0.0,1,0
Jonny Angbazo,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,0,1
Logan Wendell,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Aidan Roy,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,1,0
Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Don Mays Jr,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Aiden Macaulay,St. Lawrence Saints,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tanner Tedesco,Union (NY) Dutchmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1,0
Steve DeRegis,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Jaylon O'Neal,Ithaca College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tomiwa Adetosoye,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Shea Fitzgerald,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
