PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Josiah Turner,Rochester Institute of Technology Tigers,7,3,0,0.0,3,1,33.3333,0,0,,16.66667,0,1
Matt Caggiano,Kenny Wilburn,Rochester Institute of Technology Tigers,4,3,1,33.3333,1,0,0.0,0,0,,37.5,0,0
Tanner Tedesco,Aren Cummings,Union (NY) Dutchmen,4,0,0,,3,1,33.3333,0,0,,33.33333,1,0
Brock Bowen,Josiah Turner,Rochester Institute of Technology Tigers,4,1,1,100.0,2,1,50.0,0,0,,83.33333,1,0
Brock Bowen,Kenny Wilburn,Rochester Institute of Technology Tigers,4,3,1,33.3333,0,0,,0,0,,50.0,1,0
Keegan Ocorr,Kenny Wilburn,Rochester Institute of Technology Tigers,3,1,0,0.0,1,0,0.0,0,0,,0.0,0,1
Tanner Tedesco,Jack Plesser,Union (NY) Dutchmen,3,0,0,,2,2,100.0,0,0,,100.0,1,0
Chase Dickens,Kenny Wilburn,Rochester Institute of Technology Tigers,3,1,0,0.0,2,2,100.0,0,0,,66.66667,0,0
Chase Dickens,Josiah Turner,Rochester Institute of Technology Tigers,3,1,0,0.0,2,2,100.0,1,1,100.0,66.66667,0,0
Bruce Brewer Jr,Blessed Mbogo,Gallaudet University Bison,3,2,1,50.0,0,0,,0,0,,75.0,1,0
Tanner Tedesco,Christian Dufort,Union (NY) Dutchmen,3,2,1,50.0,0,0,,0,0,,75.0,0,1
Emmanuel Leftenant,Cody Schneider,Alfred State Pioneers,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Tanner Tedesco,Brendan Reid,Union (NY) Dutchmen,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Nick Padilla,Jack LaGarde,Skidmore Thoroughbreds,2,0,0,,2,0,0.0,0,0,,0.0,0,0
JP Miranda,Alex Walters,Vassar Brewers,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Logan Wendell,Triston Wennersten,Ithaca College,2,2,2,100.0,0,0,,0,0,,150.0,0,0
Jordan Haggard,Logan Blankenberg,Nazareth College Golden Flyers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Jack Foley,Daniel Cook,St. John Fisher Cardinals,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Luke Granto,Kenny Wilburn,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Akinlana Popoola,Connor Williams,St. John Fisher Cardinals,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Gavin Macaulay,Adam Dudzinski,St. Lawrence Saints,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Dyland Matchett,Pat White,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1,0
Evan Cabral,Noah Downing,Ithaca College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Evan Cabral,Triston Wennersten,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Dyland Matchett,Andrew Deppe,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1,0
Mark Osime,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brock Bowen,Zac Ditzel,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Sam Pisanelli,Jean Marc Togodgue,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Keegan Ocorr,Jackson Otis,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Nick Padilla,Ian Bentley,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Keegan Ocorr,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tomiwa Adetosoye,Matt Wiele,Rochester (NY) Yellowjackets,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Malachi Moore,Matt Wiele,Rochester (NY) Yellowjackets,1,0,0,,0,0,,0,0,,,1,0
Shea Fitzgerald,Alex Walters,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Cory Dennis,Rowan Heinze,Bard College,1,0,0,,0,0,,0,0,,,1,0
Logan Wendell,Alex Penders,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Pat Healy,Ryan Lucey,Hobart College Statesmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Nick Padilla,Joey Skoric,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Maxwell Schneider,Connor Williams,St. John Fisher Cardinals,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Logan Wendell,Gavin Schauder,Ithaca College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
